individual.local.identifier,timestamp,yCoords,xCoords
1,2022.02.22 16:01:37,31.087441,-85.821413
1,2022.02.22 16:16:55,31.087421,-85.821385
1,2022.02.22 16:31:01,31.087507,-85.821394
1,2022.02.22 16:46:07,31.0874,-85.821431
1,2022.02.22 17:01:01,31.0873,-85.821451
1,2022.02.22 17:15:51,31.08746,-85.821417
1,2022.02.22 17:30:50,31.087601,-85.821511
1,2022.02.22 17:46:06,31.087342,-85.821391
1,2022.02.22 18:01:55,31.087409,-85.821306
1,2022.02.22 18:16:34,31.087404,-85.821458
1,2022.02.22 18:31:07,31.087298,-85.821376
1,2022.02.22 18:46:08,31.087383,-85.821437
1,2022.02.22 19:02:00,31.087403,-85.821382
1,2022.02.22 19:16:06,31.087383,-85.821388
1,2022.02.22 19:31:13,31.087387,-85.821388
1,2022.02.22 19:45:47,31.087499,-85.821359
1,2022.02.22 20:00:51,31.087435,-85.821419
1,2022.02.22 20:16:01,31.087401,-85.821395
1,2022.02.22 20:30:49,31.087493,-85.821421
1,2022.02.22 20:46:36,31.087398,-85.821332
1,2022.02.22 21:02:06,31.087493,-85.821529
1,2022.02.22 21:17:30,31.08752,-85.82143
1,2022.02.22 21:32:36,31.087441,-85.821461
1,2022.02.22 21:47:37,31.087414,-85.821417
1,2022.02.22 22:00:42,31.08743,-85.821382
1,2022.02.22 22:16:10,31.087564,-85.821247
1,2022.02.22 22:31:25,31.087431,-85.821309
1,2022.02.22 22:46:06,31.087341,-85.821395
1,2022.02.22 23:01:26,31.08742,-85.821387
1,2022.02.22 23:16:27,31.087348,-85.821317
1,2022.02.22 23:31:07,31.087645,-85.821354
1,2022.02.22 23:46:38,31.087353,-85.821407
1,2022.02.23 00:01:23,31.087419,-85.821404
1,2022.02.23 00:15:50,31.087362,-85.821443
1,2022.02.23 00:30:52,31.087423,-85.821376
1,2022.02.23 00:45:45,31.087393,-85.821376
1,2022.02.23 01:00:51,31.087409,-85.82135
1,2022.02.23 01:15:50,31.087417,-85.821462
1,2022.02.23 01:30:39,31.087386,-85.821406
1,2022.02.23 01:46:01,31.087368,-85.821326
1,2022.02.23 02:01:01,31.087405,-85.821353
1,2022.02.23 02:15:50,31.087367,-85.821461
1,2022.02.23 02:30:50,31.087396,-85.821466
1,2022.02.23 02:45:50,31.087435,-85.821404
